 ,院校代码,院校名称,专业组,专业名称,招生地区,选考科目,招生年份,录取批次,最低分,最低分位次,招生人数,备注,,,,,,,,,,,,,
不分文理,A248,上海交通大学,58,理科试验班类(含致远，李政道、吴文俊班，双学士学位项目),山东,物理,2021,常规1志愿,665,539,20,- ,,,,,,,,,,,,,
不分文理,A335,浙江大学,4Y,医学试验班(竺可桢学院巴德年医学班),山东,物理和化学,2021,常规1志愿,664,554,8,- ,,,,,,,,,,,,,
不分文理,A335,浙江大学,WJ,工科试验班(信息),山东,物理,2021,常规1志愿,664,569,20,- ,,,,,,,,,,,,,
不分文理,H246,复旦大学医学院,65,口腔医学,山东,物理或化学或生物,2021,常规1志愿,664,573,2,- ,,,,,,,,,,,,,
不分文理,A002,中国人民大学,AG,法学,山东,不限,2021,常规1志愿,664,595,7,- ,,,,,,,,,,,,,
不分文理,H246,复旦大学医学院,75,临床医学(5年制，卓越医生计划),山东,物理和化学,2021,常规1志愿,663,623,6,- ,,,,,,,,,,,,,
不分文理,A246,复旦大学,33,新闻传播学类(卓越新闻人才计划),山东,不限,2021,常规1志愿,663,632,4,- ,,,,,,,,,,,,,
不分文理,A246,复旦大学,3F,自然科学试验班(物理化学方向，拔尖学生培养基地),山东,物理,2021,常规1志愿,663,605,15,- ,,,,,,,,,,,,,
不分文理,A002,中国人民大学,A7,经济学类,山东,不限,2021,常规1志愿,663,633,9,- ,,,,,,,,,,,,,
不分文理,A248,上海交通大学,56,工科试验班类,山东,物理,2021,常规1志愿,663,635,68,- ,,,,,,,,,,,,,
不分文理,A284,南京大学,13,人工智能,山东,物理,2021,常规1志愿,663,636,4,- ,,,,,,,,,,,,,
不分文理,A006,北京航空航天大学,04,工科试验班类(未来空天领军计划),山东,物理,2021,常规1志愿,662,688,4,- ,,,,,,,,,,,,,
不分文理,A335,浙江大学,2B,社会科学试验班(竺可桢学院人文社科实验班、智能财务班),山东,不限,2021,常规1志愿,662,678,3,- ,,,,,,,,,,,,,
不分文理,A335,浙江大学,WC,理科试验班类,山东,物理,2021,常规1志愿,662,681,3,- ,,,,,,,,,,,,,
不分文理,A335,浙江大学,WF,工科试验班,山东,物理,2021,常规1志愿,662,672,10,- ,,,,,,,,,,,,,
不分文理,A246,复旦大学,35,法学(卓越法律人才基地),山东,不限,2021,常规1志愿,662,677,3,- ,,,,,,,,,,,,,
不分文理,A284,南京大学,12,计算机科学与技术,山东,物理,2021,常规1志愿,662,661,5,- ,,,,,,,,,,,,,
不分文理,A284,南京大学,15,理科试验班类(匡亚明学院大理科班),山东,物理和化学,2021,常规1志愿,662,662,5,- ,,,,,,,,,,,,,
不分文理,A284,南京大学,4F,软件工程,山东,物理,2021,常规1志愿,661,760,7,- ,,,,,,,,,,,,,
不分文理,A358,中国科学技术大学,G3,工科试验班,山东,物理,2021,常规1志愿,661,729,14,- ,,,,,,,,,,,,,
不分文理,A358,中国科学技术大学,L3,理科试验班类,山东,物理,2021,常规1志愿,661,734,28,- ,,,,,,,,,,,,,
不分文理,A246,复旦大学,3H,社会科学试验班,山东,不限,2021,常规1志愿,661,771,5,- ,,,,,,,,,,,,,
不分文理,A284,南京大学,49,电子信息类,山东,物理,2021,常规1志愿,661,746,7,- ,,,,,,,,,,,,,
不分文理,H335,浙江大学医学院,9A,临床医学(5+3一体化培养),山东,化学和生物,2021,常规1志愿,660,815,7,- ,,,,,,,,,,,,,
不分文理,A002,中国人民大学,AN,理科试验班,山东,物理,2021,常规1志愿,660,793,17,- ,,,,,,,,,,,,,
不分文理,A284,南京大学,47,理科试验班(数理科学类),山东,物理,2021,常规1志愿,660,814,13,- ,,,,,,,,,,,,,
不分文理,A284,南京大学,4B,工科试验班,山东,物理,2021,常规1志愿,660,803,3,- ,,,,,,,,,,,,,
不分文理,A487,华中科技大学,32,临床医学(本硕博贯通培养),山东,化学和生物,2021,常规1志愿,659,881,3,- ,,,,,,,,,,,,,
不分文理,A002,中国人民大学,AA,新闻传播学类,山东,不限,2021,常规1志愿,659,873,9,- ,,,,,,,,,,,,,
不分文理,A002,中国人民大学,AC,工商管理类,山东,物理或历史,2021,常规1志愿,659,885,11,- ,,,,,,,,,,,,,
不分文理,A248,上海交通大学,62,自然科学试验班,山东,物理或化学,2021,常规1志愿,659,872,25,- ,,,,,,,,,,,,,
不分文理,A284,南京大学,45,经济管理试验班,山东,不限,2021,常规1志愿,659,840,8,- ,,,,,,,,,,,,,
不分文理,A284,南京大学,4D,建筑类(建筑与规划实验班),山东,物理,2021,常规1志愿,659,889,1,- ,,,,,,,,,,,,,
不分文理,A284,南京大学,4H,理科试验班类(化学与生命科学类),山东,物理和化学,2021,常规1志愿,658,915,4,- ,,,,,,,,,,,,,
不分文理,A006,北京航空航天大学,14,工科试验班类(国际通用工程学院),山东,物理,2021,常规1志愿,658,962,4,- ,,,,,,,,,,,,,
不分文理,A558,中山大学,0A,临床医学(八年制),山东,物理和化学,2021,常规1志愿,658,946,4,- ,,,,,,,,,,,,,
不分文理,A335,浙江大学,W9,社会科学试验班,山东,不限,2021,常规1志愿,658,914,17,- ,,,,,,,,,,,,,
不分文理,A002,中国人民大学,AL,人力资源管理,山东,不限,2021,常规1志愿,658,930,6,- ,,,,,,,,,,,,,
不分文理,A284,南京大学,43,社会科学试验班,山东,不限,2021,常规1志愿,658,954,4,- ,,,,,,,,,,,,,
不分文理,A610,四川大学,69,临床医学(八年),山东,物理和化学,2021,常规1志愿,657,1016,2,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,C1,理科试验班(弘毅学堂),山东,物理和化学,2021,常规1志愿,657,1026,3,- ,,,,,,,,,,,,,
不分文理,H246,复旦大学医学院,74,医学试验班(拔尖学生培养基地),山东,物理或化学或生物,2021,常规1志愿,657,974,14,- ,,,,,,,,,,,,,
不分文理,H335,浙江大学医学院,9B,口腔医学(5+3一体化培养),山东,化学和生物,2021,常规1志愿,657,986,8,- ,,,,,,,,,,,,,
不分文理,H335,浙江大学医学院,9C,临床医学(5+3一体化培养，儿科方向),山东,化学和生物,2021,常规1志愿,657,1014,3,- ,,,,,,,,,,,,,
不分文理,A487,华中科技大学,5K,电子信息类(启明光电信息本硕博实验班),山东,物理,2021,常规1志愿,657,1029,5,- ,,,,,,,,,,,,,
不分文理,A002,中国人民大学,A4,社会科学试验班(管理学科类),山东,不限,2021,常规1志愿,657,1028,9,- ,,,,,,,,,,,,,
不分文理,A284,南京大学,4L,理科试验班类(地球科学与资源环境类),山东,物理和化学,2021,常规1志愿,656,1077,6,- ,,,,,,,,,,,,,
不分文理,A284,南京大学,4N,环境科学与工程类(环境与健康实验班),山东,物理和化学,2021,常规1志愿,656,1088,5,- ,,,,,,,,,,,,,
不分文理,A006,北京航空航天大学,16,工科试验班类(医工交叉试验班),山东,物理,2021,常规1志愿,656,1119,2,- ,,,,,,,,,,,,,
不分文理,A006,北京航空航天大学,1B,工科试验班类(信息类),山东,物理,2021,常规1志愿,656,1059,64,- ,,,,,,,,,,,,,
不分文理,A006,北京航空航天大学,1D,理科试验班类,山东,物理,2021,常规1志愿,656,1117,10,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,D3,金融学类(弘毅学堂数理经济与数理金融试验班),山东,物理或历史,2021,常规1志愿,656,1105,3,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,D5,口腔医学(八年制),山东,物理和化学,2021,常规1志愿,656,1086,2,- ,,,,,,,,,,,,,
不分文理,A533,中南大学,83,临床医学(八年制),山东,化学和生物,2021,常规1志愿,656,1110,3,- ,,,,,,,,,,,,,
不分文理,A272,上海财经大学,04,金融学,山东,不限,2021,常规1志愿,656,1050,4,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,H3,工科试验班(弘毅学堂),山东,物理,2021,常规1志愿,656,1083,2,- ,,,,,,,,,,,,,
不分文理,A272,上海财经大学,0T,会计学,山东,不限,2021,常规1志愿,656,1104,3,- ,,,,,,,,,,,,,
不分文理,A213,哈尔滨工业大学,07,工科试验班(英才本硕博连读),山东,物理,2021,常规1志愿,656,1122,8,- ,,,,,,,,,,,,,
不分文理,A002,中国人民大学,AJ,国际政治,山东,不限,2021,常规1志愿,656,1084,7,- ,,,,,,,,,,,,,
不分文理,A006,北京航空航天大学,12,理科试验班类(中法工程师学院),山东,物理,2021,常规1志愿,655,1173,7,- ,,,,,,,,,,,,,
不分文理,A007,北京理工大学,02,工科试验班(未来技术学院),山东,物理,2021,常规1志愿,655,1129,4,- ,,,,,,,,,,,,,
不分文理,A610,四川大学,74,口腔医学(五年),山东,物理或化学或生物,2021,常规1志愿,655,1131,3,- ,,,,,,,,,,,,,
不分文理,A213,哈尔滨工业大学,12,工科试验班(智慧人居),山东,物理,2021,常规1志愿,655,1181,2,- ,,,,,,,,,,,,,
不分文理,A487,华中科技大学,15,计算机类(计算机学院),山东,物理,2021,常规1志愿,655,1175,21,- ,,,,,,,,,,,,,
不分文理,A055,南开大学,3K,金融学类,山东,不限,2021,常规1志愿,654,1269,8,- ,,,,,,,,,,,,,
不分文理,A213,哈尔滨工业大学,21,工科试验班(智慧人居本硕博连读),山东,物理,2021,常规1志愿,654,1234,1,- ,,,,,,,,,,,,,
不分文理,A026,北京中医药大学,01,中医学(领军人才培养计划),山东,物理或化学或生物,2021,常规1志愿,654,1288,1,- ,,,,,,,,,,,,,
不分文理,A006,北京航空航天大学,18,工科试验班类(航空h航天类),山东,物理,2021,常规1志愿,653,1372,56,- ,,,,,,,,,,,,,
不分文理,A034,中央财经大学,04,金融学类,山东,物理,2021,常规1志愿,653,1371,7,- ,,,,,,,,,,,,,
不分文理,A335,浙江大学,W7,人文科学试验班,山东,历史或地理,2021,常规1志愿,653,1312,8,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,G8,临床医学(八年制，弘毅学堂),山东,物理和化学,2021,常规1志愿,653,1310,3,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,H2,文科试验班类(弘毅学堂ple试验班),山东,物理或历史,2021,常规1志愿,653,1351,2,- ,,,,,,,,,,,,,
不分文理,A007,北京理工大学,01,工科试验班(徐特立英才班),山东,物理,2021,常规1志愿,652,1405,20,- ,,,,,,,,,,,,,
不分文理,P002,国防科技大学,96,计算机类(天河拔尖班),山东,物理,2021,常规1志愿,652,1474,2,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,D4,临床医学(八年制),山东,物理和化学,2021,常规1志愿,652,1479,2,- ,,,,,,,,,,,,,
不分文理,A698,西安交通大学,1G,人工智能(aih),山东,物理,2021,常规1志愿,652,1469,2,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,E8,计算机类(计算机学院),山东,物理,2021,常规1志愿,652,1423,11,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,G7,国际经济与贸易(弘毅学堂数字贸易与金融试验班),山东,物理或历史,2021,常规1志愿,652,1480,2,- ,,,,,,,,,,,,,
不分文理,A487,华中科技大学,17,自动化类(ai试验班),山东,物理,2021,常规1志愿,652,1460,13,- ,,,,,,,,,,,,,
不分文理,A247,同济大学,04,工科试验班(建筑规划景观与设计类),山东,物理,2021,常规1志愿,652,1463,11,- ,,,,,,,,,,,,,
不分文理,A247,同济大学,08,工科试验班(信息类),山东,物理,2021,常规1志愿,652,1492,36,- ,,,,,,,,,,,,,
不分文理,A248,上海交通大学,53,自然保护与环境生态类(含双学士学位项目),山东,物理或化学,2021,常规1志愿,652,1421,30,- ,,,,,,,,,,,,,
不分文理,A055,南开大学,3W,理科试验班(数理科学与大数据),山东,物理,2021,常规1志愿,651,1563,12,- ,,,,,,,,,,,,,
不分文理,A286,东南大学,18,工科试验班(吴健雄班),山东,物理,2021,常规1志愿,651,1504,5,- ,,,,,,,,,,,,,
不分文理,A034,中央财经大学,33,经济学(数理经济与数理金融),山东,不限,2021,常规1志愿,651,1558,3,- ,,,,,,,,,,,,,
不分文理,A025,首都医科大学,01,临床医学(5+3一体化),山东,物理和化学,2021,常规1志愿,651,1542,5,- ,,,,,,,,,,,,,
不分文理,A055,南开大学,3H,经济学类,山东,不限,2021,常规1志愿,650,1638,8,- ,,,,,,,,,,,,,
不分文理,A487,华中科技大学,10,电气工程及其自动化,山东,物理,2021,常规1志愿,650,1595,14,- ,,,,,,,,,,,,,
不分文理,A247,同济大学,03,经济管理试验班,山东,物理,2021,常规1志愿,650,1670,8,- ,,,,,,,,,,,,,
不分文理,A247,同济大学,15,工科试验班(智能化制造类),山东,物理,2021,常规1志愿,650,1688,10,- ,,,,,,,,,,,,,
不分文理,A053,中国政法大学,28,法学(北京外国语大学联合培养涉外法治人才),山东,不限,2021,常规1志愿,650,1675,4,- ,,,,,,,,,,,,,
不分文理,A025,首都医科大学,09,口腔医学(阶平班),山东,物理和化学,2021,常规1志愿,650,1672,1,- ,,,,,,,,,,,,,
不分文理,A027,北京师范大学,1R,数学类,山东,物理,2021,常规1志愿,649,1801,13,- ,,,,,,,,,,,,,
不分文理,A034,中央财经大学,14,经济学类,山东,不限,2021,常规1志愿,649,1754,4,- ,,,,,,,,,,,,,
不分文理,A034,中央财经大学,34,金融学(国际金融与公司理财),山东,物理,2021,常规1志愿,649,1718,3,- ,,,,,,,,,,,,,
不分文理,A335,浙江大学,5A,工科试验班(海洋),山东,物理,2021,常规1志愿,649,1773,23,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,A6,经济学类(含经济学国家拔尖学生培养基地),山东,物理或历史,2021,常规1志愿,649,1741,6,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,B3,数学类(含数学国家拔尖学生培养基地),山东,物理和化学,2021,常规1志愿,649,1715,5,- ,,,,,,,,,,,,,
不分文理,A614,电子科技大学,P1,电子信息类(成电英才计划拔尖创新人才实验班),山东,物理,2021,常规1志愿,649,1781,3,- ,,,,,,,,,,,,,
不分文理,A698,西安交通大学,1A,工科试验班(钱学森班之智能电气q),山东,物理,2021,常规1志愿,649,1743,5,- ,,,,,,,,,,,,,
不分文理,A698,西安交通大学,1C,工科试验班(钱学森班之智能技术与自动化q),山东,物理,2021,常规1志愿,649,1700,6,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,D6,口腔医学(五年制),山东,物理和化学,2021,常规1志愿,649,1702,2,- ,,,,,,,,,,,,,
不分文理,A698,西安交通大学,1J,理科试验班(数学h),山东,物理,2021,常规1志愿,649,1713,3,- ,,,,,,,,,,,,,
不分文理,A272,上海财经大学,02,财务管理,山东,不限,2021,常规1志愿,649,1722,3,- ,,,,,,,,,,,,,
不分文理,A486,武汉大学,E6,临床医学(5+3一体化),山东,物理和化学,2021,常规1志愿,649,1749,7,- ,,,,,,,,,,,,,
不分文理,A272,上海财经大学,0A,经济学,山东,不限,2021,常规1志愿,649,1709,4,- ,,,,,,,,,,,,,
