 ,院校代码,院校名称,专业组,专业名称,招生地区,选考科目,招生年份,录取批次,最低分,最低分位次,招生人数,备注,,,,,,,,,,,,,
不分文理,A141,大连理工大学,51,电子科学与技术,山东,物理,2021,常规1志愿,623,7237,6,- ,,,,,,,,,,,,,
不分文理,A610,四川大学,8B,英语,山东,不限,2021,常规1志愿,623,7205,5,- ,,,,,,,,,,,,,
不分文理,A033,中国传媒大学,76,广告学(计算广告双学士学位复合型人才培养项目),山东,不限,2021,常规1志愿,623,7179,3,- ,,,,,,,,,,,,,
不分文理,H002,中国人民大学(苏州校区),03,金融学(中外),山东,不限,2021,常规1志愿,623,7176,8,中外,,,,,,,,,,,,,
不分文理,A422,山东大学,XF,物理学类,山东,物理,2021,常规1志愿,623,7076,70,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,14,食品科学与工程类,山东,物理或化学或生物,2021,常规1志愿,623,7252,4,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,YN,计算机类(软件数媒与大数据方向),山东,物理,2021,常规1志愿,623,7132,150,- ,,,,,,,,,,,,,
不分文理,A271,上海外国语大学,04,德语,山东,不限,2021,常规1志愿,623,7277,2,- ,,,,,,,,,,,,,
不分文理,A631,重庆医科大学,02,临床医学(5+3一体化，硕士段培养方向儿科学),山东,化学和生物,2021,常规1志愿,623,7011,1,- ,,,,,,,,,,,,,
不分文理,A631,重庆医科大学,03,临床医学,山东,化学和生物,2021,常规1志愿,623,7202,4,- ,,,,,,,,,,,,,
不分文理,A271,上海外国语大学,62,国际经济与贸易,山东,不限,2021,常规1志愿,623,7112,2,- ,,,,,,,,,,,,,
不分文理,A271,上海外国语大学,72,工商管理类(卓越管理人才计划),山东,不限,2021,常规1志愿,623,7141,2,- ,,,,,,,,,,,,,
不分文理,A651,西南财经大学,29,法学(法学与会计学双学位),山东,不限,2021,常规1志愿,623,7159,2,- ,,,,,,,,,,,,,
不分文理,A651,西南财经大学,39,法学(法学与国商双学位),山东,不限,2021,常规1志愿,623,7165,1,- ,,,,,,,,,,,,,
不分文理,A533,中南大学,B4,自动化类,山东,物理,2021,常规1志愿,623,7161,30,- ,,,,,,,,,,,,,
不分文理,A651,西南财经大学,3C,金融学类,山东,不限,2021,常规1志愿,623,7036,8,- ,,,,,,,,,,,,,
不分文理,A276,华东政法大学,3U,公共管理类(双学位培养项目),山东,不限,2021,常规1志愿,623,7095,2,- ,,,,,,,,,,,,,
不分文理,A053,中国政法大学,20,行政管理,山东,不限,2021,常规1志愿,623,7082,3,- ,,,,,,,,,,,,,
不分文理,A053,中国政法大学,21,公共事业管理,山东,不限,2021,常规1志愿,623,7105,1,- ,,,,,,,,,,,,,
不分文理,A312,南京医科大学,02,临床医学(5+3一体化，儿科医学),山东,物理和化学,2021,常规1志愿,623,7116,2,- ,,,,,,,,,,,,,
不分文理,A343,温州医科大学,55,临床医学(5+3一体化),山东,化学和生物,2021,常规1志愿,623,7166,2,- ,,,,,,,,,,,,,
不分文理,E596,中国社会科学院大学,12,法语,山东,不限,2021,常规1志愿,622,7446,2,- ,,,,,,,,,,,,,
不分文理,A285,苏州大学,0Z,英语(师范类),山东,不限,2021,常规1志愿,622,7528,1,- ,,,,,,,,,,,,,
不分文理,A285,苏州大学,1A,金融数学,山东,不限,2021,常规1志愿,622,7486,1,- ,,,,,,,,,,,,,
不分文理,A287,南京航空航天大学,0N,计算机科学与技术,山东,物理,2021,常规1志愿,622,7512,4,- ,,,,,,,,,,,,,
不分文理,A610,四川大学,45,材料类,山东,物理,2021,常规1志愿,622,7405,10,- ,,,,,,,,,,,,,
不分文理,A610,四川大学,47,医学信息工程,山东,物理,2021,常规1志愿,622,7456,4,- ,,,,,,,,,,,,,
不分文理,A033,中国传媒大学,38,传播学(媒体市场调查与分析方向),山东,不限,2021,常规1志愿,622,7374,2,- ,,,,,,,,,,,,,
不分文理,A141,大连理工大学,44,建筑类,山东,物理,2021,常规1志愿,622,7431,4,- ,,,,,,,,,,,,,
不分文理,A268,上海中医药大学,02,中医学(5+3一体化),山东,物理或化学或生物,2021,常规1志愿,622,7401,4,- ,,,,,,,,,,,,,
不分文理,A590,深圳大学,74,临床医学,山东,化学和生物,2021,常规1志愿,622,7398,1,- ,,,,,,,,,,,,,
不分文理,A590,深圳大学,D3,临床医学(卓越班),山东,化学和生物,2021,常规1志愿,622,7388,2,- ,,,,,,,,,,,,,
不分文理,A611,重庆大学,DF,理科试验班(数学与物理类),山东,物理,2021,常规1志愿,622,7434,8,- ,,,,,,,,,,,,,
不分文理,A561,华南理工大学,0P,食品科学与工程类,山东,物理或化学或生物,2021,常规1志愿,622,7346,2,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,XK,电子信息类(通信电子与光电方向),山东,物理,2021,常规1志愿,622,7320,110,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,Y3,电气工程及其自动化,山东,物理,2021,常规1志愿,622,7557,100,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,30,传播学,山东,不限,2021,常规1志愿,622,7435,2,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,YV,网络空间安全,山东,物理,2021,常规1志愿,622,7592,72,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,7A,计算机科学与技术,山东,物理,2021,常规1志愿,622,7407,3,- ,,,,,,,,,,,,,
不分文理,A511,华中师范大学,22,历史学类,山东,历史或地理,2021,常规1志愿,622,7565,2,- ,,,,,,,,,,,,,
不分文理,A699,西北工业大学,5B,物理学类,山东,物理,2021,常规1志愿,622,7484,8,- ,,,,,,,,,,,,,
不分文理,A159,中国医科大学,10,临床医学,山东,化学和生物,2021,常规1志愿,622,7470,8,- ,,,,,,,,,,,,,
不分文理,A004,北京交通大学,13,理科试验班类,山东,物理,2021,常规1志愿,622,7457,9,- ,,,,,,,,,,,,,
不分文理,A285,苏州大学,01,中国语言文学类,山东,不限,2021,常规1志愿,621,7709,1,- ,,,,,,,,,,,,,
不分文理,H614,电子科技大学(沙河校区)(中外),CD,电子信息类(中外)(电子信息),山东,物理,2021,常规1志愿,621,7612,6,中外,,,,,,,,,,,,,
不分文理,A226,哈尔滨医科大学,0B,口腔医学,山东,化学和生物,2021,常规1志愿,621,7802,1,- ,,,,,,,,,,,,,
不分文理,A285,苏州大学,2F,放射医学,山东,化学和生物,2021,常规1志愿,621,7882,2,- ,,,,,,,,,,,,,
不分文理,A610,四川大学,31,管理科学与工程类,山东,物理,2021,常规1志愿,621,7616,4,- ,,,,,,,,,,,,,
不分文理,A287,南京航空航天大学,0Q,软件工程,山东,物理,2021,常规1志愿,621,7814,3,- ,,,,,,,,,,,,,
不分文理,A033,中国传媒大学,26,数字媒体技术(游戏设计技术方向),山东,物理,2021,常规1志愿,621,7629,3,- ,,,,,,,,,,,,,
不分文理,A559,暨南大学,3D,口腔医学,山东,物理或化学或生物,2021,常规1志愿,621,7861,2,- ,,,,,,,,,,,,,
不分文理,A141,大连理工大学,26,化工与制药类(创新班),山东,化学,2021,常规1志愿,621,7880,4,- ,,,,,,,,,,,,,
不分文理,A610,四川大学,53,土木工程,山东,物理,2021,常规1志愿,621,7866,6,- ,,,,,,,,,,,,,
不分文理,A141,大连理工大学,65,机械类,山东,物理,2021,常规1志愿,621,7744,8,- ,,,,,,,,,,,,,
不分文理,A033,中国传媒大学,72,经济学类,山东,不限,2021,常规1志愿,621,7841,2,- ,,,,,,,,,,,,,
不分文理,A141,大连理工大学,6K,数学类,山东,物理,2021,常规1志愿,621,7793,7,- ,,,,,,,,,,,,,
不分文理,A611,重庆大学,DK,工科试验班(电气与信息类),山东,物理,2021,常规1志愿,621,7609,50,- ,,,,,,,,,,,,,
不分文理,H002,中国人民大学(苏州校区),02,国民经济管理(中外),山东,不限,2021,常规1志愿,621,7747,4,中外,,,,,,,,,,,,,
不分文理,A422,山东大学,19,智能医学工程,山东,物理,2021,常规1志愿,621,7824,10,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,43,计算机科学与技术(智能班),山东,物理,2021,常规1志愿,621,7670,6,- ,,,,,,,,,,,,,
不分文理,A183,吉林大学,52,数学类,山东,物理和化学,2021,常规1志愿,621,7727,10,- ,,,,,,,,,,,,,
不分文理,A561,华南理工大学,0Y,行政管理,山东,不限,2021,常规1志愿,621,7606,1,- ,,,,,,,,,,,,,
不分文理,A561,华南理工大学,1D,新闻传播学类,山东,不限,2021,常规1志愿,621,7789,3,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,66,精算学,山东,不限,2021,常规1志愿,621,7791,1,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,YQ,电子信息类(微电子与电路集成方向),山东,物理,2021,常规1志愿,621,7807,72,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,6Z,汉语言文学,山东,不限,2021,常规1志愿,621,7799,3,- ,,,,,,,,,,,,,
不分文理,A062,天津医科大学,2J,医学影像学,山东,物理和化学和生物,2021,常规1志愿,621,7700,1,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,4K,工商管理类,山东,不限,2021,常规1志愿,621,7914,4,- ,,,,,,,,,,,,,
不分文理,A699,西北工业大学,08,材料类(新材料与化工试验班),山东,物理,2021,常规1志愿,621,7872,15,- ,,,,,,,,,,,,,
不分文理,A651,西南财经大学,3A,金融数学,山东,不限,2021,常规1志愿,621,7825,2,- ,,,,,,,,,,,,,
不分文理,A699,西北工业大学,10,力学类(工程应用力学试验班),山东,物理,2021,常规1志愿,621,7821,6,- ,,,,,,,,,,,,,
不分文理,A053,中国政法大学,19,国际商务,山东,不限,2021,常规1志愿,621,7893,3,- ,,,,,,,,,,,,,
不分文理,A004,北京交通大学,12,电气工程及其自动化(新能源国际班),山东,物理,2021,常规1志愿,621,7724,4,- ,,,,,,,,,,,,,
不分文理,A054,华北电力大学(北京),01,电气类,山东,物理,2021,常规1志愿,621,7721,16,- ,,,,,,,,,,,,,
不分文理,A025,首都医科大学,06,精神医学,山东,物理和化学,2021,常规1志愿,621,7686,3,- ,,,,,,,,,,,,,
不分文理,A004,北京交通大学,1F,电气类,山东,物理,2021,常规1志愿,621,7908,7,- ,,,,,,,,,,,,,
不分文理,A251,华东理工大学,34,计算机科学与技术(双学士学位项目),山东,物理,2021,常规1志愿,620,8094,4,- ,,,,,,,,,,,,,
不分文理,A026,北京中医药大学,23,中医学,山东,物理或化学或生物,2021,常规1志愿,620,8078,8,- ,,,,,,,,,,,,,
不分文理,A319,南京师范大学,04,英语,山东,不限,2021,常规1志愿,620,7959,2,- ,,,,,,,,,,,,,
不分文理,A319,南京师范大学,1D,英语(师范类),山东,不限,2021,常规1志愿,620,8084,2,- ,,,,,,,,,,,,,
不分文理,A610,四川大学,24,旅游管理类,山东,不限,2021,常规1志愿,620,8201,3,- ,,,,,,,,,,,,,
不分文理,A287,南京航空航天大学,0L,航空航天工程,山东,物理,2021,常规1志愿,620,8173,5,- ,,,,,,,,,,,,,
不分文理,A141,大连理工大学,37,工程力学(钱令希力学创新班),山东,物理,2021,常规1志愿,620,8047,2,- ,,,,,,,,,,,,,
不分文理,A141,大连理工大学,40,光电信息科学与工程,山东,物理,2021,常规1志愿,620,8038,5,- ,,,,,,,,,,,,,
不分文理,A141,大连理工大学,53,应用物理学(王大珩物理基础科学班),山东,物理,2021,常规1志愿,620,7946,4,- ,,,,,,,,,,,,,
不分文理,A033,中国传媒大学,68,文化产业管理,山东,不限,2021,常规1志愿,620,7968,3,- ,,,,,,,,,,,,,
不分文理,A034,中央财经大学(中外),13,国际经济与贸易(中外)(国际贸易、金融风险管理),山东,不限,2021,常规1志愿,620,8134,9,中外,,,,,,,,,,,,,
不分文理,A561,华南理工大学,1C,传播学(2加2联合班),山东,不限,2021,常规1志愿,620,8030,2,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,XX,自动化类,山东,物理,2021,常规1志愿,620,8154,70,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,YS,新闻传播学类,山东,不限,2021,常规1志愿,620,8080,15,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,47,动物医学类,山东,化学,2021,常规1志愿,620,7975,3,- ,,,,,,,,,,,,,
不分文理,A271,上海外国语大学,63,国际经济与贸易(日语),山东,不限,2021,常规1志愿,620,7957,2,- ,,,,,,,,,,,,,
不分文理,A063,天津中医药大学,11,中医学(拔尖创新人才培养模式改革9年制),山东,物理或化学或生物,2021,常规1志愿,620,8144,2,- ,,,,,,,,,,,,,
不分文理,A511,华中师范大学,24,数学类,山东,物理,2021,常规1志愿,620,8034,2,- ,,,,,,,,,,,,,
不分文理,A651,西南财经大学,2F,数学与应用数学(经济数学方向),山东,物理,2021,常规1志愿,620,8081,2,- ,,,,,,,,,,,,,
不分文理,A052,中央民族大学,11,汉语言文学,山东,不限,2021,常规1志愿,620,8194,5,- ,,,,,,,,,,,,,
不分文理,A699,西北工业大学,17,工商管理类(管理试验班),山东,不限,2021,常规1志愿,620,8216,2,- ,,,,,,,,,,,,,
不分文理,A651,西南财经大学,3S,法学,山东,不限,2021,常规1志愿,620,8088,1,- ,,,,,,,,,,,,,
不分文理,A004,北京交通大学,01,法学,山东,不限,2021,常规1志愿,620,8215,4,- ,,,,,,,,,,,,,
不分文理,A004,北京交通大学,19,交通运输类,山东,物理,2021,常规1志愿,620,7961,12,- ,,,,,,,,,,,,,
不分文理,A285,苏州大学,03,新闻传播学类,山东,不限,2021,常规1志愿,619,8443,1,- ,,,,,,,,,,,,,
不分文理,A319,南京师范大学,1A,中国语言文学类,山东,不限,2021,常规1志愿,619,8504,5,- ,,,,,,,,,,,,,
不分文理,A285,苏州大学,35,人工智能,山东,物理,2021,常规1志愿,619,8484,1,- ,,,,,,,,,,,,,
不分文理,A610,四川大学,19,俄语,山东,不限,2021,常规1志愿,619,8268,2,- ,,,,,,,,,,,,,
不分文理,A033,中国传媒大学,71,工商管理类,山东,不限,2021,常规1志愿,619,8314,2,- ,,,,,,,,,,,,,
不分文理,A033,中国传媒大学,74,政治学与行政学(国家治理与政治传播方向),山东,不限,2021,常规1志愿,619,8404,2,- ,,,,,,,,,,,,,
不分文理,A611,重庆大学,D7,工科试验班(管理与经济类),山东,物理,2021,常规1志愿,619,8461,25,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,04,政治学类,山东,不限,2021,常规1志愿,619,8391,14,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,58,电子信息工程,山东,物理,2021,常规1志愿,619,8395,2,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,5D,法学,山东,不限,2021,常规1志愿,619,8236,6,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,09,环境科学与工程类,山东,物理,2021,常规1志愿,619,8385,4,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,24,工程力学,山东,物理,2021,常规1志愿,619,8440,2,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,28,社会学类,山东,不限,2021,常规1志愿,619,8382,2,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,YB,预防医学(五年制),山东,物理或化学或生物,2021,常规1志愿,619,8392,30,- ,,,,,,,,,,,,,
不分文理,A183,吉林大学,75,计算机类,山东,物理,2021,常规1志愿,619,8251,24,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,68,统计学类,山东,物理或化学或生物,2021,常规1志愿,619,8259,2,- ,,,,,,,,,,,,,
不分文理,H213,哈尔滨工业大学(威海),12,计算机类,山东,物理,2021,常规1志愿,619,8365,66,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,7C,软件工程,山东,物理,2021,常规1志愿,619,8285,6,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,7J,机器人工程,山东,物理,2021,常规1志愿,619,8527,3,- ,,,,,,,,,,,,,
不分文理,A533,中南大学,A4,建筑类(建筑城规类),山东,物理或历史或地理,2021,常规1志愿,619,8488,4,- ,,,,,,,,,,,,,
不分文理,A280,上海大学,53,经济学类,山东,不限,2021,常规1志愿,619,8513,3,- ,,,,,,,,,,,,,
不分文理,A161,大连医科大学,01,临床医学(5+3一体化),山东,化学和生物,2021,常规1志愿,618,8644,2,- ,,,,,,,,,,,,,
不分文理,H614,电子科技大学(沙河校区)(中外),CT,电子信息类(中外)(通信、微电子),山东,物理,2021,常规1志愿,618,8837,9,中外,,,,,,,,,,,,,
不分文理,A008,北京科技大学,02,工科试验班类,山东,物理,2021,常规1志愿,618,8685,9,- ,,,,,,,,,,,,,
不分文理,A285,苏州大学,1S,计算机科学与技术,山东,物理,2021,常规1志愿,618,8663,1,- ,,,,,,,,,,,,,
不分文理,A610,四川大学,60,工科试验班(食品与发酵),山东,物理,2021,常规1志愿,618,8867,8,- ,,,,,,,,,,,,,
不分文理,A141,大连理工大学,42,机械设计制造及其自动化(日语强化),山东,物理,2021,常规1志愿,618,8877,3,- ,,,,,,,,,,,,,
不分文理,A183,吉林大学,01,哲学,山东,思想政治,2021,常规1志愿,618,8755,2,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,41,生物医学科学,山东,物理和化学,2021,常规1志愿,618,8671,6,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,24,国际经济与贸易(实验班),山东,不限,2021,常规1志愿,618,8560,1,- ,,,,,,,,,,,,,
不分文理,A183,吉林大学,54,物理学类,山东,物理,2021,常规1志愿,618,8782,10,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,XD,历史学类,山东,历史或地理,2021,常规1志愿,618,8805,26,- ,,,,,,,,,,,,,
不分文理,A561,华南理工大学,0Z,商务英语,山东,不限,2021,常规1志愿,618,8844,3,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,60,建筑学,山东,物理,2021,常规1志愿,618,8776,6,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,YH,工商管理类,山东,不限,2021,常规1志愿,618,8646,82,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,31,农村区域发展,山东,不限,2021,常规1志愿,618,8716,2,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,6A,经济学类,山东,不限,2021,常规1志愿,618,8554,3,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,6L,数学类,山东,物理,2021,常规1志愿,618,8534,6,- ,,,,,,,,,,,,,
不分文理,A183,吉林大学,9C,人工智能,山东,物理,2021,常规1志愿,618,8723,5,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,77,通信工程,山东,物理,2021,常规1志愿,618,8674,4,- ,,,,,,,,,,,,,
不分文理,A271,上海外国语大学,74,管理科学与工程类(卓越管理人才计划),山东,物理,2021,常规1志愿,618,8538,2,- ,,,,,,,,,,,,,
不分文理,A651,西南财经大学,1W,数字经济,山东,物理,2021,常规1志愿,618,8870,1,- ,,,,,,,,,,,,,
不分文理,A511,华中师范大学,28,物理学类,山东,物理,2021,常规1志愿,618,8835,2,- ,,,,,,,,,,,,,
不分文理,A052,中央民族大学,01,哲学类,山东,不限,2021,常规1志愿,618,8567,2,- ,,,,,,,,,,,,,
不分文理,A052,中央民族大学,05,社会学类,山东,不限,2021,常规1志愿,618,8762,2,- ,,,,,,,,,,,,,
不分文理,A651,西南财经大学,3E,金融学类(保险学院),山东,不限,2021,常规1志愿,618,8687,3,- ,,,,,,,,,,,,,
不分文理,A052,中央民族大学,12,新闻传播学类,山东,不限,2021,常规1志愿,618,8861,4,- ,,,,,,,,,,,,,
不分文理,A651,西南财经大学,3N,财政学类,山东,不限,2021,常规1志愿,618,8714,3,- ,,,,,,,,,,,,,
不分文理,A699,西北工业大学,24,建筑学,山东,物理或历史或地理,2021,常规1志愿,618,8569,2,- ,,,,,,,,,,,,,
不分文理,A652,西南政法大学,03,法学,山东,不限,2021,常规1志愿,618,8766,6,- ,,,,,,,,,,,,,
不分文理,A699,西北工业大学,55,海洋工程类(智慧海洋试验班),山东,物理,2021,常规1志愿,618,8836,10,- ,,,,,,,,,,,,,
不分文理,A004,北京交通大学,04,经济管理试验班,山东,物理,2021,常规1志愿,618,8539,12,- ,,,,,,,,,,,,,
不分文理,A701,西安电子科技大学,02,计算机类,山东,物理,2021,常规1志愿,618,8639,77,- ,,,,,,,,,,,,,
不分文理,A161,大连医科大学,04,口腔医学,山东,化学和生物,2021,常规1志愿,617,9234,2,- ,,,,,,,,,,,,,
不分文理,A316,中国药科大学,04,药学(国家生命科学与技术人才培养基地),山东,物理或化学,2021,常规1志愿,617,8976,3,- ,,,,,,,,,,,,,
不分文理,A520,中南财经政法大学,0S,经济管理试验班,山东,不限,2021,常规1志愿,617,9219,10,- ,,,,,,,,,,,,,
不分文理,A287,南京航空航天大学,0S,人工智能,山东,物理,2021,常规1志愿,617,9033,3,- ,,,,,,,,,,,,,
不分文理,A141,大连理工大学,25,环境科学与工程类,山东,化学,2021,常规1志愿,617,8909,4,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,01,哲学类,山东,不限,2021,常规1志愿,617,8990,12,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,03,农学,山东,物理或化学或生物,2021,常规1志愿,617,9157,4,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,XH,化学类,山东,物理和化学,2021,常规1志愿,617,8911,50,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,5A,自动化,山东,物理,2021,常规1志愿,617,9207,3,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,XP,生物科学类,山东,物理或化学或生物,2021,常规1志愿,617,9258,50,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,5H,会计学,山东,不限,2021,常规1志愿,617,9083,7,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,29,英语,山东,不限,2021,常规1志愿,617,9256,2,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,64,金融学,山东,不限,2021,常规1志愿,617,9088,10,- ,,,,,,,,,,,,,
不分文理,A041,中国人民公安大学,00,法学,山东,不限,2021,常规1志愿,617,8986,4,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,45,动物科学,山东,物理或化学或生物,2021,常规1志愿,617,9087,3,- ,,,,,,,,,,,,,
不分文理,A533,中南大学,A2,中国语言文学类,山东,不限,2021,常规1志愿,617,9238,10,- ,,,,,,,,,,,,,
不分文理,A533,中南大学,A3,外国语言文学类,山东,不限,2021,常规1志愿,617,9237,8,- ,,,,,,,,,,,,,
不分文理,A052,中央民族大学,03,法学类,山东,不限,2021,常规1志愿,617,9247,4,- ,,,,,,,,,,,,,
不分文理,A533,中南大学,B1,机械类,山东,物理,2021,常规1志愿,617,9257,25,- ,,,,,,,,,,,,,
不分文理,A052,中央民族大学,08,历史学类,山东,历史,2021,常规1志愿,617,8934,2,- ,,,,,,,,,,,,,
不分文理,A533,中南大学,B8,公共卫生与预防医学类(非临床五年制医学类),山东,化学和生物,2021,常规1志愿,617,8973,8,- ,,,,,,,,,,,,,
不分文理,A145,东北大学,0N,计算机类,山东,物理,2021,常规1志愿,617,8964,7,- ,,,,,,,,,,,,,
不分文理,A004,北京交通大学,03,新闻传播学类,山东,不限,2021,常规1志愿,617,8908,4,- ,,,,,,,,,,,,,
不分文理,A280,上海大学,02,社会学类,山东,不限,2021,常规1志愿,617,9156,4,- ,,,,,,,,,,,,,
不分文理,A251,华东理工大学,18,计算机类,山东,物理,2021,常规1志愿,617,8906,3,- ,,,,,,,,,,,,,
不分文理,A026,北京中医药大学,07,中医骨伤科学,山东,物理或化学或生物,2021,常规1志愿,616,9391,2,- ,,,,,,,,,,,,,
不分文理,A520,中南财经政法大学,0V,法学类,山东,不限,2021,常规1志愿,616,9377,26,- ,,,,,,,,,,,,,
不分文理,C121,南方医科大学,0B,医学影像学,山东,化学和生物,2021,常规1志愿,616,9336,2,- ,,,,,,,,,,,,,
不分文理,C121,南方医科大学,0E,中西医临床医学,山东,物理或化学或生物,2021,常规1志愿,616,9356,1,- ,,,,,,,,,,,,,
不分文理,A287,南京航空航天大学,11,微电子科学与工程(集成电路设计),山东,物理,2021,常规1志愿,616,9487,4,- ,,,,,,,,,,,,,
不分文理,A611,重庆大学,D2,工科试验班(环化与健康类),山东,物理,2021,常规1志愿,616,9542,10,- ,,,,,,,,,,,,,
不分文理,A013,北京邮电大学,10,英语,山东,不限,2021,常规1志愿,616,9403,4,- ,,,,,,,,,,,,,
不分文理,A141,大连理工大学,6H,软件工程,山东,物理,2021,常规1志愿,616,9331,28,- ,,,,,,,,,,,,,
不分文理,A611,重庆大学,DB,外国语言文学类,山东,不限,2021,常规1志愿,616,9497,5,- ,,,,,,,,,,,,,
不分文理,A183,吉林大学,07,考古学,山东,历史或地理,2021,常规1志愿,616,9578,4,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,19,保险学(风险管理实验班),山东,不限,2021,常规1志愿,616,9456,1,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,X6,公共管理类,山东,不限,2021,常规1志愿,616,9593,15,- ,,,,,,,,,,,,,
不分文理,A183,吉林大学,63,车辆工程,山东,物理和化学,2021,常规1志愿,616,9531,8,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,XU,机械类,山东,物理,2021,常规1志愿,616,9532,66,- ,,,,,,,,,,,,,
不分文理,A422,山东大学,YE,药学类,山东,物理或化学或生物,2021,常规1志愿,616,9635,36,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,32,地理科学类,山东,物理,2021,常规1志愿,616,9425,4,- ,,,,,,,,,,,,,
不分文理,A183,吉林大学,77,数据科学与大数据技术,山东,物理,2021,常规1志愿,616,9295,6,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,6U,英语,山东,不限,2021,常规1志愿,616,9608,2,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,43,植物保护,山东,物理或化学或生物,2021,常规1志愿,616,9562,3,- ,,,,,,,,,,,,,
不分文理,A019,中国农业大学,4B,机械类,山东,物理,2021,常规1志愿,616,9475,3,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,75,新闻传播学类,山东,不限,2021,常规1志愿,616,9639,3,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,7E,信息安全,山东,物理,2021,常规1志愿,616,9516,5,- ,,,,,,,,,,,,,
不分文理,A532,湖南大学,7L,智能制造工程,山东,物理,2021,常规1志愿,616,9521,1,- ,,,,,,,,,,,,,
不分文理,A651,西南财经大学,1U,精算学,山东,物理,2021,常规1志愿,616,9406,2,- ,,,,,,,,,,,,,
不分文理,A423,中国海洋大学,38,法学,山东,不限,2021,常规1志愿,616,9479,12,- ,,,,,,,,,,,,,
不分文理,A533,中南大学,A6,化工与制药类(化学生物环境类),山东,物理或化学,2021,常规1志愿,616,9442,15,- ,,,,,,,,,,,,,
不分文理,A052,中央民族大学,07,文物与博物馆学,山东,历史,2021,常规1志愿,616,9633,2,- ,,,,,,,,,,,,,
不分文理,A651,西南财经大学,3W,经济与贸易类,山东,不限,2021,常规1志愿,616,9509,5,- ,,,,,,,,,,,,,
不分文理,A312,南京医科大学,05,医学影像学,山东,物理和化学,2021,常规1志愿,616,9402,2,- ,,,,,,,,,,,,,
不分文理,A343,温州医科大学,51,眼视光医学(5+3一体化),山东,化学和生物,2021,常规1志愿,616,9366,3,- ,,,,,,,,,,,,,
不分文理,A701,西安电子科技大学,01,电子信息类,山东,物理,2021,常规1志愿,616,9566,118,- ,,,,,,,,,,,,,
不分文理,A054,华北电力大学(北京),0P,电子信息类,山东,物理,2021,常规1志愿,615,9832,5,- ,,,,,,,,,,,,,
不分文理,A055,南开大学(中外),01,电子商务(中外),山东,不限,2021,常规1志愿,615,9969,5,中外,,,,,,,,,,,,,
不分文理,A285,苏州大学,0W,法学,山东,不限,2021,常规1志愿,615,9851,3,- ,,,,,,,,,,,,,
不分文理,A008,北京科技大学,10,通信工程,山东,物理,2021,常规1志愿,615,9938,6,- ,,,,,,,,,,,,,
